weight_lightgbm,weight_xgboost,weight_random_forest,rmse,mae,r2,exact_match_hits_rounded,exact_match_rate_rounded,bucket_accuracy_0_1_2_3plus,n_samples
0.4,0.55,0.05,0.9159139186025871,0.6323096318006499,0.2692717981085043,4730,0.5384790528233151,0.5463342440801457,8784
0.4,0.6,0.0,0.9174726633285645,0.6327155710235208,0.26678250752107724,4724,0.5377959927140255,0.5457650273224044,8784
0.45,0.0,0.55,0.9116680407739776,0.6349170917204521,0.2760309297872251,4700,0.535063752276867,0.5430327868852459,8784
0.45,0.05,0.5,0.911189072796413,0.6341100844430682,0.27679144106284226,4693,0.5342668488160291,0.5420081967213115,8784
0.45,0.1,0.45,0.9109096452324499,0.6334129918598921,0.2772349350116481,4703,0.5354052823315119,0.5428051001821493,8784
0.45,0.15,0.4,0.9108299417292037,0.6328127884067042,0.2773614116336429,4701,0.5351775956284153,0.542691256830601,8784
0.45,0.2,0.35,0.9109500147112014,0.6323197445900993,0.27717087092882664,4704,0.5355191256830601,0.5433743169398907,8784
0.45,0.25,0.3,0.9112697852081171,0.6319544120398376,0.27666331289719925,4713,0.5365437158469946,0.5442850637522769,8784
0.45,0.3,0.25,0.9117890431142252,0.6317089903826055,0.27583873753876065,4723,0.5376821493624773,0.5454234972677595,8784
0.45,0.35,0.2,0.9125074478775814,0.631583233655106,0.27469714485351115,4722,0.537568306010929,0.5455373406193078,8784
0.45,0.4,0.15,0.9134245296136709,0.6315622118336343,0.27323853484145033,4736,0.5391621129326047,0.5471311475409836,8784
0.45,0.45,0.1,0.9145396906350493,0.6317161124363098,0.2714629075025784,4737,0.539275956284153,0.5472449908925319,8784
0.45,0.5,0.05,0.9158522073854185,0.6319927759548852,0.26937026283689547,4740,0.5396174863387978,0.5474726775956285,8784
0.45,0.55,0.0,0.9173612327636436,0.632368816093349,0.2669606008444013,4723,0.5376821493624773,0.5456511839708561,8784
0.5,0.0,0.5,0.9117004337713293,0.6341028921480242,0.27597948135696304,4701,0.5351775956284153,0.5429189435336976,8784
0.5,0.05,0.45,0.9113710113188679,0.6333688054711448,0.276502603900702,4698,0.5348360655737705,0.5424635701275046,8784
0.5,0.1,0.4,0.9112411893592818,0.6327531255733697,0.2767087091176298,4709,0.5360883424408015,0.5436020036429873,8784
0.5,0.15,0.35,0.9113110531955911,0.6322299695045881,0.27659779700774634,4708,0.5359744990892532,0.5436020036429873,8784
0.5,0.2,0.3,0.9115805569158398,0.6318244874612092,0.2761698675710519,4715,0.536771402550091,0.5443989071038251,8784
0.5,0.25,0.25,0.9120495235438284,0.6315443156007928,0.27542492080754644,4726,0.538023679417122,0.5457650273224044,8784
0.5,0.3,0.2,0.9127176456194176,0.6313810591398238,0.27436295671722954,4732,0.5387067395264117,0.5465619307832422,8784
0.5,0.35,0.15,0.9135844862039729,0.6313449837452036,0.2729839753001019,4738,0.5393897996357013,0.5472449908925319,8784
