source_year,station_id,station_name,주소,latitude,longitude,total_return_count,return_7_10_count,return_11_14_count,return_17_20_count,arrival_7_10_ratio,arrival_11_14_ratio,arrival_17_20_ratio,dominant_window,district_hypothesis
2025,2411, 세곡동 성당,강남구 율현동 165-2(강남구 밤고개로21길 50),37.47296906,127.11222839,5523,742,1080,1855,0.13434727503168567,0.1955458989679522,0.3358681875792142,return_17_20_count,주거지구 후보
2025,2413,도곡역 1번 출구,남부순환로 2814,37.49095917,127.05498505,9742,2560,1505,2628,0.26277971669061795,0.1544857318825703,0.26975980291521245,return_17_20_count,주거지구 후보
2025,2414, 도곡역 아카데미스위트 앞,언주로30길 21,37.48897171,127.05182648,12782,4113,2566,2752,0.3217806290095447,0.20075105617274291,0.21530276951963698,return_7_10_count,업무/상업지구 후보
2025,2415,한티역 롯데백화점 앞,선릉로 228,37.49667358,127.05342865,8939,1300,2061,2886,0.14543013759928403,0.23056270276317262,0.32285490547041057,return_17_20_count,주거지구 후보
2025,2416,한티역 6번 출구,선릉로 227,37.4958992,127.05219269,5071,661,866,2101,0.1303490435811477,0.1707749950700059,0.41431670281995664,return_17_20_count,주거지구 후보
2025,2417,선정릉 디캠프(D.CAMP)앞,선릉로 551,37.50799942,127.04524994,2163,170,317,769,0.07859454461396209,0.14655570966250578,0.3555247341655109,return_17_20_count,주거지구 후보
2025,2418,봉은사역 7번 출구,봉은사로 601,37.51393509,127.05982208,5817,754,943,2452,0.12962007907856282,0.16211105380780472,0.4215231218841327,return_17_20_count,주거지구 후보
2025,2419,"봉은사역 1,2번 출구",봉은사로 601,37.51430893,127.05970001,4881,739,840,1464,0.15140340094242982,0.1720958819913952,0.2999385371850031,return_17_20_count,주거지구 후보
2025,2420,학여울역 사거리(LG베스트샵 앞),영동대로 202,37.49689484,127.07013702,6573,1433,771,2521,0.2180130838277803,0.11729803742583295,0.3835387190019778,return_17_20_count,주거지구 후보
2025,2422,수서동 성당 맞은편,광평로34길 202,37.48416901,127.09484863,5269,1037,820,1656,0.19681153919149744,0.15562725374833936,0.3142911368381097,return_17_20_count,주거지구 후보
2025,2423,영희초교 사거리(래미안개포루체하임),개포로110길 50,37.4908371,127.08065033,11677,1414,2481,3643,0.12109274642459536,0.2124689560674831,0.31198081699066543,return_17_20_count,주거지구 후보
2025,2425,세곡동 사거리(대왕초등학교 정류장),헌릉로618길 8,37.46461868,127.10684967,1909,196,411,549,0.10267155578837088,0.21529596647459404,0.28758512310110007,return_17_20_count,주거지구 후보
2025,2426,강남한신휴플러스 6단지,강남구 율현동 333-1,37.46829605,127.10469818,4514,480,730,1725,0.10633584404076207,0.16171909614532565,0.3821444395214887,return_17_20_count,주거지구 후보
2025,2427,개포고등학교 정문앞,강남구 개포로402,37.48485184,127.0583725,6408,1133,946,2181,0.17681023720349562,0.14762796504369538,0.3403558052434457,return_17_20_count,주거지구 후보
2025,2430,강남파이낸스센터앞(역삼역2번출구),테헤란로152,37.50024414,127.03605652,3181,700,747,862,0.22005658597925182,0.23483181389500157,0.27098396730587865,return_17_20_count,주거지구 후보
2025,2431,대치역 7번출구,남부순환로155,37.49411774,127.06290436,12372,1887,2545,3820,0.15252182347235693,0.20570643388296153,0.30876172001293245,return_17_20_count,주거지구 후보
2025,3602, 한국지역난방공사강남지사,양재대로 781,37.49229431,127.09433746,4460,2495,506,749,0.5594170403587444,0.11345291479820628,0.1679372197309417,return_7_10_count,업무/상업지구 후보
2025,3604, 삼성중앙역 5번출구,삼성동145-1,37.51296234,127.05386353,5310,1158,799,1828,0.21807909604519773,0.1504708097928437,0.344256120527307,return_17_20_count,주거지구 후보
2025,3605, 봉은사역6번출구(현대아이파크타워앞),삼성동160,37.51390839,127.06072998,4,0,3,1,0.0,0.75,0.25,return_11_14_count,점심 상권/업무지구 후보
2025,3606, 신사동주민센터 옆,압구정로 130,37.52422714,127.02285004,5349,1688,949,1183,0.3155730042998691,0.1774163395027108,0.22116283417461208,return_7_10_count,업무/상업지구 후보
2025,3609, 언주초등학교 입구,남부순환로2641,37.48536682,127.03849792,4063,1089,714,870,0.2680285503322668,0.17573221757322174,0.2141274920009845,return_7_10_count,업무/상업지구 후보
2025,3610, 윗반마을 입구,세곡동 97-3,37.46534729,127.1088028,1481,313,203,332,0.2113436866981769,0.13706954760297096,0.22417285617825794,return_17_20_count,주거지구 후보
