station_id,station_name,target,feature_set,alpha,split,rmse,mae,r2
2384, 자곡사거리,rental_count,baseline_plus_quarter,100.0,train,1.755078448366882,1.230048304938161,0.4328515574662827
2384, 자곡사거리,rental_count,baseline_plus_quarter,100.0,valid,1.7665724419836708,1.2312864476379468,0.48505625742629055
2384, 자곡사거리,rental_count,baseline_plus_quarter,100.0,test,1.4960559063120464,1.0527238622081914,0.45343820065641094
2384, 자곡사거리,rental_count,baseline_plus_rush_hour,10.0,train,1.7507473166327074,1.2258803759994508,0.435647288574487
2384, 자곡사거리,rental_count,baseline_plus_rush_hour,10.0,valid,1.76197259997745,1.2281830154806337,0.4877344109128605
2384, 자곡사거리,rental_count,baseline_plus_rush_hour,10.0,test,1.4946726635144312,1.05916485462093,0.4544484278280879
2384, 자곡사거리,rental_count,baseline_plus_month_day_type,100.0,train,1.7443024470598645,1.2241272194397885,0.43979464321744643
2384, 자곡사거리,rental_count,baseline_plus_month_day_type,100.0,valid,1.7709241994788818,1.2283195761703969,0.48251611771118874
2384, 자곡사거리,rental_count,baseline_plus_month_day_type,100.0,test,1.5006692399452046,1.076302144421191,0.45006217759888056
2384, 자곡사거리,rental_count,all_extended,10.0,train,1.7262022411041258,1.2058582813311731,0.45136055376755757
2384, 자곡사거리,rental_count,all_extended,10.0,valid,1.759851574383527,1.2206717289608906,0.4889669777022755
2384, 자곡사거리,rental_count,all_extended,10.0,test,1.4957999414625989,1.0636882036787918,0.4536252105670404
2384, 자곡사거리,return_count,baseline,100.0,train,1.770680368789764,1.2319072757861,0.45323618440896596
2384, 자곡사거리,return_count,baseline,100.0,valid,1.896697910081315,1.366346779711347,0.4490334591888495
2384, 자곡사거리,return_count,baseline,100.0,test,1.5596715196152753,1.0711150445512245,0.41590239761441006
2384, 자곡사거리,return_count,baseline_plus_weekday,0.001,train,1.7495453670612753,1.219762652313657,0.466210731964142
2384, 자곡사거리,return_count,baseline_plus_weekday,0.001,valid,1.861269361433004,1.3454418049675811,0.4694243054126447
2384, 자곡사거리,return_count,baseline_plus_weekday,0.001,test,1.5465727847392607,1.0676410602465187,0.4256721622595586
2384, 자곡사거리,return_count,baseline_plus_season,100.0,train,1.766429603290335,1.2309715035732953,0.4558581991593702
2384, 자곡사거리,return_count,baseline_plus_season,100.0,valid,1.8965122405969923,1.3554670160873943,0.4491413231412077
2384, 자곡사거리,return_count,baseline_plus_season,100.0,test,1.5607912399826067,1.0788648769434126,0.41506342512174554
2384, 자곡사거리,return_count,baseline_plus_quarter,1000.0,train,1.7842688482551883,1.2406967443240298,0.4448120810956988
2384, 자곡사거리,return_count,baseline_plus_quarter,1000.0,valid,1.8921214747735715,1.3537925241039412,0.45168904368634033
2384, 자곡사거리,return_count,baseline_plus_quarter,1000.0,test,1.5670017137651377,1.0895788116933727,0.4103991745906871
2384, 자곡사거리,return_count,baseline_plus_rush_hour,1000.0,train,1.7682170467383307,1.2342625379859566,0.4547564119253946
2384, 자곡사거리,return_count,baseline_plus_rush_hour,1000.0,valid,1.8531242639757053,1.3297037719444,0.4740578474217273
2384, 자곡사거리,return_count,baseline_plus_rush_hour,1000.0,test,1.5533786021830542,1.088291009761984,0.4206062890153245
2384, 자곡사거리,return_count,baseline_plus_month_day_type,100.0,train,1.7357138132071015,1.2095535129054507,0.4746174304764832
2384, 자곡사거리,return_count,baseline_plus_month_day_type,100.0,valid,1.84931844856936,1.3182328464989448,0.47621591461023915
2384, 자곡사거리,return_count,baseline_plus_month_day_type,100.0,test,1.5698494442598294,1.0920149005925217,0.4082542504458959
2384, 자곡사거리,return_count,all_extended,100.0,train,1.7201552306548527,1.2005392223466564,0.4839940593370171
2384, 자곡사거리,return_count,all_extended,100.0,valid,1.824489171592673,1.3053845182407087,0.4901863318916755
2384, 자곡사거리,return_count,all_extended,100.0,test,1.5588314856396943,1.0864538070167142,0.4165314142893469
2306, 압구정역 2번 출구 옆,rental_count,baseline,100.0,train,1.7748900993071943,1.2403400378433453,0.3884218540864074
2306, 압구정역 2번 출구 옆,rental_count,baseline,100.0,valid,1.6549175723321132,1.1608398975362269,0.3770307698726607
2306, 압구정역 2번 출구 옆,rental_count,baseline,100.0,test,1.4562751460128545,1.0124896388517433,0.339790621581712
2306, 압구정역 2번 출구 옆,rental_count,baseline_plus_weekday,1000.0,train,1.7753169199340795,1.2378194632087236,0.3881276775014857
2306, 압구정역 2번 출구 옆,rental_count,baseline_plus_weekday,1000.0,valid,1.6525151999780165,1.1569457649690456,0.3788381321282599
2306, 압구정역 2번 출구 옆,rental_count,baseline_plus_weekday,1000.0,test,1.4510274282362845,1.006449758250851,0.34454020497644666
2306, 압구정역 2번 출구 옆,rental_count,baseline_plus_season,10.0,train,1.7727729070622995,1.2424533063011252,0.38988003590258424
2306, 압구정역 2번 출구 옆,rental_count,baseline_plus_season,10.0,valid,1.6627743410853562,1.1705246596598253,0.37110160009039717
2306, 압구정역 2번 출구 옆,rental_count,baseline_plus_season,10.0,test,1.459044428906697,1.031936748274522,0.3372772985798673
2306, 압구정역 2번 출구 옆,rental_count,baseline_plus_quarter,100.0,train,1.7729297006205438,1.239830083544955,0.3897721065561742
2306, 압구정역 2번 출구 옆,rental_count,baseline_plus_quarter,100.0,valid,1.6546330349875324,1.1602283623693916,0.3772449712021769
2306, 압구정역 2번 출구 옆,rental_count,baseline_plus_quarter,100.0,test,1.4585973361006603,1.0100070102135037,0.337683390607185
2306, 압구정역 2번 출구 옆,rental_count,baseline_plus_rush_hour,100.0,train,1.7721846885767882,1.2378128388558542,0.3902848528983135
2306, 압구정역 2번 출구 옆,rental_count,baseline_plus_rush_hour,100.0,valid,1.6542440747936933,1.160812258027806,0.37753772305838085
2306, 압구정역 2번 출구 옆,rental_count,baseline_plus_rush_hour,100.0,test,1.4567801921490933,1.013668280334624,0.33933261195961095
2306, 압구정역 2번 출구 옆,rental_count,baseline_plus_month_day_type,1000.0,train,1.7623886664975805,1.2343853268240088,0.3970068106550412
2306, 압구정역 2번 출구 옆,rental_count,baseline_plus_month_day_type,1000.0,valid,1.663487408526763,1.168322900452643,0.37056208836196924
2306, 압구정역 2번 출구 옆,rental_count,baseline_plus_month_day_type,1000.0,test,1.463912948569647,1.033640517721323,0.3328471914854252
2306, 압구정역 2번 출구 옆,rental_count,all_extended,1000.0,train,1.758964671440498,1.2340312225097738,0.3993475430107477
2306, 압구정역 2번 출구 옆,rental_count,all_extended,1000.0,valid,1.6607673575125887,1.1683482473422149,0.3726188559077418
2306, 압구정역 2번 출구 옆,rental_count,all_extended,1000.0,test,1.462123644893641,1.0321716589345065,0.334477082710119
2306, 압구정역 2번 출구 옆,return_count,baseline,0.001,train,1.8060082225137617,1.2012943135760703,0.5248741926618965
2306, 압구정역 2번 출구 옆,return_count,baseline,0.001,valid,1.7205477826595483,1.1473405269325012,0.557578652823945
2306, 압구정역 2번 출구 옆,return_count,baseline,0.001,test,1.4919097567966457,0.9934065906064873,0.5230802535711278
2306, 압구정역 2번 출구 옆,return_count,baseline_plus_weekday,0.001,train,1.793475601466817,1.2018029011989861,0.5314454928687373
2306, 압구정역 2번 출구 옆,return_count,baseline_plus_weekday,0.001,valid,1.7029491938253407,1.1495770008940385,0.5665829618345675
2306, 압구정역 2번 출구 옆,return_count,baseline_plus_weekday,0.001,test,1.4845699720951453,0.9997824493724548,0.5277613376972682
2306, 압구정역 2번 출구 옆,return_count,baseline_plus_season,10.0,train,1.799141898686814,1.2019263574788797,0.5284801186572488
2306, 압구정역 2번 출구 옆,return_count,baseline_plus_season,10.0,valid,1.7327984980809108,1.158243166206228,0.551255929501586
2306, 압구정역 2번 출구 옆,return_count,baseline_plus_season,10.0,test,1.485314721239871,1.0146361100542334,0.5272874125025152
2306, 압구정역 2번 출구 옆,return_count,baseline_plus_quarter,100.0,train,1.8042501368544084,1.2012453967813943,0.5257987790336076
2306, 압구정역 2번 출구 옆,return_count,baseline_plus_quarter,100.0,valid,1.7260363529688754,1.1481320125671741,0.554751490699473
2306, 압구정역 2번 출구 옆,return_count,baseline_plus_quarter,100.0,test,1.5039689829678458,0.9891556247679806,0.5153391323638555
2306, 압구정역 2번 출구 옆,return_count,baseline_plus_rush_hour,0.001,train,1.787730001660008,1.1969907628661978,0.5344428176373494
2306, 압구정역 2번 출구 옆,return_count,baseline_plus_rush_hour,0.001,valid,1.7044502258697993,1.1516613813001773,0.5658185707619819
